,User,Tweet,Location,Retweet Count,Date
71,muskan87988595,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",Mumbai,37,2020-06-12 12:53:20
72,Secretary_DFPD,"Free distribution of 10 kg rice and 2 kg Chana started today in Longleng district, a far flung district in Nagaland… https://t.co/wnZQqD38KN",,1,2020-06-12 12:49:24
73,Sepc_India,"#Exports on a rapid Turnaround:
Reformative governance of PM @narendramodi ji pushes exports in the 1st week of Jun… https://t.co/jt1Zirxmyl",India,2,2020-06-12 12:47:56
74,MYNKBHRDWJ,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",PALWAL,37,2020-06-12 12:47:33
75,Daniruddha82J,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",महाराष्ट्र,37,2020-06-12 12:47:25
76,reenasingh81,@ArvindS47509774 @nsitharamanoffc she is more concerned about GST rates on       Roti : 5%  &amp; Parantha 18% #AtmanirbharBharatAbhiyan,"New Delhi, India",0,2020-06-12 12:43:29
77,atmanirbhar_1,@dhanyarajendran What is this? #AtmanirbharBharatAbhiyan ?,lost,0,2020-06-12 12:31:14
78,bchandra10,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","New Delhi, India",37,2020-06-12 12:30:56
79,SatishSingha41,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 12:30:16
80,kirpal_pandit,@ajaymgoel @1912PVVNL @noida_authority @ptshrikant @MdPvvnl @CeoNoida @DirTechPvvnl @PvvnlMrt2020 They will continu… https://t.co/qvFierqdYB,Sector 50 Noida ,0,2020-06-12 12:30:00
81,pranav1967,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 12:28:22
82,KomalSi62889503,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",india,37,2020-06-12 12:28:01
83,SinghK_Anjani05,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 12:22:36
84,PuranrawatPuran,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",INDIA,37,2020-06-12 12:21:58
85,paranjai3,@yashwar7 This is their economic reform for #AtmanirbharBharatAbhiyan,,0,2020-06-12 12:21:15
86,Lalit_maurya0,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India🇮🇳🇮🇳🇮🇳,37,2020-06-12 12:16:48
87,EKKAFIR09,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",KAFIRISTAN,37,2020-06-12 12:16:36
88,sonijkn2,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 12:15:58
89,karanbhasin95,RT @mseth29: We @Cint_Security are proud to soon become a part of #AtmanirbharBharatAbhiyan @narendramodi @nitin_gadkari @sumeetbhasin @kar…,India,2,2020-06-12 12:12:38
90,Dhanraj1093,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","मुंबई, भारत",37,2020-06-12 12:12:01
91,Sab_ke_Papa,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",सर्वव्यापी,37,2020-06-12 12:10:01
92,hemirdesai,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","Valsad, Gujarat, India",37,2020-06-12 12:09:33
93,gmfci_rajasthan,RT @Secretary_DFPD: Distribution of 10 kg rice and 2 kg Chana started today in Longleng district in Nagaland under ANB package for migrant…,"Jaipur, India",1,2020-06-12 12:08:54
94,sharma102020,"RT @sharma102020: @ARUNKUMARDE7 Hello Sir, Employees of the company continuously requesting @TheOfficialSBI  to #savegujaratnre. Also hopin…",,3,2020-06-12 12:06:44
95,SharmaRashmi17,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","Rishikesh, India",37,2020-06-12 12:05:32
96,sinhrann,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","Gujarat, India",37,2020-06-12 12:02:53
97,headsupcorp,"#SamacHR: Indian Bank Announces Credit Facility To Aid MSMEs

Chennai-based Indian Bank introduced the ‘Guaranteed… https://t.co/BohWgI7wvd","New Delhi, India",1,2020-06-12 12:02:45
98,lavanyadeepak,"18% GST for Paratha with #GSTCouncilMeet today!

@nsitharaman @nsitharamanoffc 

#AtmanirbharBharatAbhiyan","Irving, TX",0,2020-06-12 12:02:02
99,BabaTwet,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",श्मशान,37,2020-06-12 12:01:01
100,AngryLiberal15,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 11:56:58
101,SharmaRashmi17,"Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal… https://t.co/kFmXuz1qMt","Rishikesh, India",37,2020-06-12 11:56:15
102,Secretary_DFPD,Distribution of 10 kg rice and 2 kg Chana started today in Longleng district in Nagaland under ANB package for migr… https://t.co/1jnBhAODmZ,,1,2020-06-12 11:53:42
103,vineethmore,Mobile phones #MakeInIndia is working. Looking in exports of mobiles in 2020. #Swadeshiwarriors… https://t.co/ZiZ9LuYahd,India,0,2020-06-12 11:45:12
104,SolitaireGemLab,"People tend – to a remarkable extent – to mirror behaviour.
Be the change you want to see in the world - Mahatma Ga… https://t.co/GPicBJBeOS","Suite 49, 88/90 Hatton Garden, London, EC1N 8PN.",0,2020-06-12 11:39:42
105,love6yuanfen,"RT @KishanK54586354: LCA TEJAS MK-1A with all improvements as requested by IAF.
look at our indian BEAST #Atmanirbhar #AtmaNirbharBharatAbh…",China,1,2020-06-12 11:37:26
106,sumeetbhasin,RT @mseth29: We @Cint_Security are proud to soon become a part of #AtmanirbharBharatAbhiyan @narendramodi @nitin_gadkari @sumeetbhasin @kar…,"New Delhi, India",2,2020-06-12 11:32:39
107,Sundeepdange,"RT @IndiaER: Indian indices are now #Atmanirbhar?
Up almost 1%
after US indices are down 5%-6%

#AtmanirbharBharatAbhiyan https://t.co/Lo3r…",Pune,1,2020-06-12 11:32:05
108,mseth29,We @Cint_Security are proud to soon become a part of #AtmanirbharBharatAbhiyan @narendramodi @nitin_gadkari… https://t.co/Ghc1sjsR6y,,2,2020-06-12 11:28:48
109,Tharun44583965,RT @Debasis44423783: @rishibagree The problem is most of the phones are only assembled here after importing components from china.We need g…,India ,2,2020-06-12 11:04:54
110,ashishacharya22,After reading news in paper that #ModiSarkar is planning to raise creamy layer from 8 Lakh to 12 Lakh am glad I don… https://t.co/9QW8RfILB0,Indore,0,2020-06-12 11:00:25
111,Secretary_DFPD,Free distribution of food grains under ANBA  in Srinagar district of J&amp;K to migrant workers. Hope to see this as a… https://t.co/cwTOI6rfwr,,0,2020-06-12 10:56:41
112,PriyaChetwani5,"RT @PriyaChetwani5: Finally Wait Is Over 🤩

India ka apna video app #Roposo aa gaya hai

Uninstall #MadeInChina #TikTok

Dont forget to del…",Chhattisgarh,2,2020-06-12 10:51:13
113,BPCLAllahabad,RT @BPCLimited: Our Mumbai refinery underwent a transformation to produce 100% BS VI grade MS fuel. The Gasoline Hydro Treatment Unit (GTU)…,"Allahabad, India",12,2020-06-12 10:49:22
114,abdulma32033529,"CM of Gujarat Opposing and criticizing PM of 
India.
Must watch 😉 #AtmanirbharBharatAbhiyan https://t.co/uKOtn5Jtl4",,0,2020-06-12 10:48:09
115,sreerupa_mitra,Grateful to Hon'ble PM @narendramodi Ji and Hon'ble FM @nsitharaman Ji for allocation of special MNREGS funds durin… https://t.co/8uG2jrY5zU,"Pan India, New Delhi",0,2020-06-12 10:43:18
116,vxtandon,RT @KishoreVaid: While we are talking about #AtmanirbharBharatAbhiyan &amp; #BoycottChineseProducts a Chinese company has emerged as lowest bid…,"New Delhi , India",1,2020-06-12 10:21:54
117,harshjaroli,"@anandmahindra sir your level of stuff!! We indians if think can do any work!! 
Another way of #innovative… https://t.co/bZsNfanDH9",Udaipur,1,2020-06-12 10:16:46
118,hinnaonenonly,Proof- opposition mein aake sab ek jaise ho jate hain. @rajnathsingh @RahulGandhi @AmitShah @narendramodi sab ek hi… https://t.co/pn5xxfr9yE,,0,2020-06-12 10:10:26
119,Rajinderakaush1,"RT @kavitakavs_s: #आरक्षण_भीख_है

Yes, we should remove reservation to make people independent and capable.

#AtmanirbharBharatAbhiyan #Atm…","Dar es Salaam, Tanzania",3,2020-06-12 09:53:41
120,IndiaER,"Indian indices are now #Atmanirbhar?
Up almost 1%
after US indices are down 5%-6%

#AtmanirbharBharatAbhiyan https://t.co/Lo3rvmx3Gc",India,1,2020-06-12 09:49:20
121,hinnaonenonly,@ArvindKejriwal u have tested negative doesn’t mean u can play with people’s lives. #delhilockdown needs to be exte… https://t.co/Fxa8RPCz48,,0,2020-06-12 09:49:06
122,kavitakavs_s,"RT @kavitakavs_s: #आरक्षण_भीख_है

Yes, we should remove reservation to make people independent and capable.

#AtmanirbharBharatAbhiyan #Atm…","Hyderabad, India",3,2020-06-12 09:43:26
123,prasadlokesh692,RT @Debasis44423783: @rishibagree The problem is most of the phones are only assembled here after importing components from china.We need g…,"Gurgaon, India",2,2020-06-12 09:41:35
124,TEAM_SRS_1008,"RT @kavitakavs_s: #आरक्षण_भीख_है

Yes, we should remove reservation to make people independent and capable.

#AtmanirbharBharatAbhiyan #Atm…",हिंदुस्तान,3,2020-06-12 09:41:20
125,kavitakavs_s,"#आरक्षण_भीख_है

Yes, we should remove reservation to make people independent and capable.… https://t.co/KL2mtq8cjY","Hyderabad, India",3,2020-06-12 09:40:31
126,ieuditmisra,"Now Nepal’s forces kill one Indian and injure 4 others along the Bihar border. 
#AtmanirbharBharatAbhiyan https://t.co/U7pAQe5j1J",,0,2020-06-12 09:40:28
127,Ishan666,"The logic behind the #economicpackage of #AtmanirbharBharatAbhiyan for #covid19:
https://t.co/Us9oxeQD6k",India,0,2020-06-12 09:40:16
128,KishoreVaid,While we are talking about #AtmanirbharBharatAbhiyan &amp; #BoycottChineseProducts a Chinese company has emerged as low… https://t.co/3JuLA8rbWW,"New Delhi, India",1,2020-06-12 09:25:04
129,lateefbabla,"Eashwar resident of Neredcherla of #Suryapet dist #Telangana, is private employee thanking the Central Government f… https://t.co/7A54kU3zts",India,0,2020-06-12 09:23:05
130,mohawkfincap,"Your wealth will grow once it becomes 'atmanirbhar' in approach!

Contact us to get a desirable investment portfoli… https://t.co/lstXc8sGWL",Chandigarh,0,2020-06-12 09:12:17
131,modironak100,"So now these are few accounts popping up again and again.

Note 1: Promotion happens over a geographical region in… https://t.co/eWqLilXL39","Ahmedabad City, India",0,2020-06-12 09:10:14
132,Debasis44423783,@rishibagree The problem is most of the phones are only assembled here after importing components from china.We nee… https://t.co/y8mZGjt0Wm,Bhubaneswar ,2,2020-06-12 09:08:59
133,amarholistic,"#Parotas 
Yeh bhi Din Dekhnatha...#AtmanirbharBharatAbhiyan 
#Parotas are for RICH..So guess they want to EARN from… https://t.co/UJ4aEGk3s9","Mumbai, India",0,2020-06-12 09:04:23
134,airnews_hyd,"Eashwar resident of Neredcherla of #Suryapet dist #Telangana, is private employee thanking the Central Government f… https://t.co/bvn3stFbgh","Hyderabad, India",0,2020-06-12 09:00:01
135,bipineshwar2,"RT @shoppingkart24: Join #BaijnathPrajapatiJi, on 🗓️13th June, at ⏰02:00 p.m. and try to know more about a #traditional #craft #Nizamabadbl…",,3,2020-06-12 08:52:47
136,Psingh34690611,"RT @shoppingkart24: Join #BaijnathPrajapatiJi, on 🗓️13th June, at ⏰02:00 p.m. and try to know more about a #traditional #craft #Nizamabadbl…","वाराणसी, भारत",3,2020-06-12 08:51:40
137,Saumya74533927,"RT @shoppingkart24: Join #BaijnathPrajapatiJi, on 🗓️13th June, at ⏰02:00 p.m. and try to know more about a #traditional #craft #Nizamabadbl…",,3,2020-06-12 08:48:20
138,saikattito,"Does anyone has guts to abolish reservation system? If yes, then continue focusing on #AtmanirbharBharatAbhiyan,… https://t.co/yefqWfph0S","Kolkata, India",0,2020-06-12 08:45:35
139,shoppingkart24,"Join #BaijnathPrajapatiJi, on 🗓️13th June, at ⏰02:00 p.m. and try to know more about a #traditional #craft… https://t.co/uOQUgrBW8t",India,3,2020-06-12 08:45:03
140,SenguptaDeepak,#AtmaNirbharBharatAbhiyan has to confront with:#JobLoss #JobCrisis  which is due to #EconomicImpact caused by… https://t.co/reG0hpif9i,"Delhi, India",0,2020-06-12 08:39:03
